INPUT:text,OUTPUT:disgust_rage,OUTPUT:fear_surprise,OUTPUT:shame_excitement,OUTPUT:enjoyment_distress,ASSIGNMENT:assignment_id,ASSIGNMENT:worker_id
,,,,,,
"Как-то раз в классе седьмом нам выдали задания - навестить ветеранов с продуктами и прочими полезными вещами. Нам с другом не очень хотелось делать это, но мы все же пошли и навестили его. Он когда нас увидел, чуть не заплакал, так растрогался, и начал очень настойчиво приглашать нас к столу, поговорить о войне, и вообще просто выговориться, но мы отнекивались, отнекивались и в конце концов соврали, что у нас занятия, и ушли. Через год подумали, что все-таки стоит навестить, как подобает, но узнали, что он умер еще полгода назад. Прошло уже много лет, но так стыдно. Он жил один, и ему просто нужно было внимание, а мы так поступили. У меня родные, которые воевали, умерли, и мне никто ничего не рассказывал, а он мог бы...",0,0,-5,3,0000c85e32--5eaeb4644a88742b274b63e8,7f52f528fe58d11912794efbc7510206
,,,,,,
"Мой муж подал на развод, потому что нашёл у меня в приложении Подслушано опубликованый секрет про его сексуальное бессилие. Сказал, что не может вытерпеть такого позора, о котором теперь все узнали. А аргумент, что у нас в стране четверть такого мужского населения и секреты анонимные даже слышать не хочет. Ну и ладно, он сделал то, на что я не решалась уже 2 года.",0,3,3,-2,0000c85e32--5eaeb46453fcae1d62be5d14,f92ccf8572ba5ceeb520411e4b4c5476
,,,,,,
"Я настолько одинока, что кажется, скоро начну у выходов с метро, раздавать листовки с моим номером мобильного.",-1,-2,-1,4,0000c85e32--5eaeb4648200d44f27489c4d,e6b975059ef4b71da5d66f42f12319c6
,,,,,,
"Знаете, какая профессия весьма прибыльна? Чистильщик бассейна. Мой дед на пенсии устроился сторожем в бассейн, в его обязанности входило чистить бассейн, сауну и мыть раздевалки. Золото он вылавливал из воды каждый раз. Много дорогих часов и цепочек забывали в сауне. Дед не был сильно обременен моралью, и его золотые запасы сильно пополнились. Однако, он чуял, когда нужно вернуть вещи, и еще вознаграждение получал много раз. Прибыль от его находок во много раз превышала зарплату)",0,0,1,0,0000c85e32--5eaeb4648200d44f27489c52,550d3c05f6e4cd9c50ab9dde9169d94c
,,,,,,
"Ровно год назад моя безмятежная жизнь, которую я устроил себе при ещё живых родителях и надеялся провести до конца, изменилась навсегда. Ровно год назад моя старшая сестра пьяная села за руль и разбилась в хлам, оставив мне, как единственному живому родственнику, двенадцатилетнего племянника без половины ноги в качестве новогоднего подарка. Сейчас вроде бы всё утряслось. Квартира сестры сдаётся в аренду, племяш через несколько лет туда перееедт, а пока живёт у меня и ходит в школу с протезом. Но блядь, прошедший год не забуду никогда, про личную жизнь, сон и отдых не слышал, в ебеня ушла компьютерная зависимость и появилось пристрастие к нервному курению. Единственный плюс - чувствую, повзрослел капитально, сам не пропаду и племяша в обиду не дам.",-2,2,2,2,0000c85e32--5eaeb464f5224e5bff340335,0fa716a54d0306097a0356baa4f8d290
,,,,,,
"У нас с мужем тяжелый период в жизни — его сократили, и он никак не может найти работу. Живем на мою зарплату уже несколько месяцев. Я очень люблю мужа и поддерживаю его, но как же меня задолбало тратить внушительную часть своей зарплаты ему на сигареты! Он заядлый курильщик, выкуривает две пачки в день, бывает и больше. Я отказываю себе во всем, чтобы свести концы с концами, а он даже не хочет попытаться бросить курить. Разговаривала с ним, все без толку. Мужа не брошу, но как же бесит!",-3,-4,-5,-5,0000c85e32--5eaeb4654e83dd1682ada2f7,85586b3d52ab3db5ef207f2344f9bcd7
,,,,,,
"Громче всех ору, что мне насрать на день святого Валентина, типа есть дела важнее, если любишь, то не нужны ""специальные"" праздники для этого. А сейчас пришел в пустую квартиру, планов нет. И так грустненько, что и на меня всем насрать.   ",2,-4,-5,4,0000c85e32--5eaeb465f234df3102e534d1,de1620d47fa10b4ff5e5470d468727d3
,,,,,,
"У каждого, думаю, есть тётя или родственница, которая с восьми утра начинает отправлять всякую дичь на телефон. Пусть то будут картинки, диеты всяческие, видео с поздравлением непонятного неизвестного праздника. И заблокировать неудобно. Блин, у меня мегабайты не бесконечные!",1,0,-1,0,0000c85e32--5eaeb4668200d44f27489c60,b8c7658da54a4dfa37985b69726453cc
,,,,,,
"Последняя стадия грусти - это, когда жалуешься Сири, что у тебя все плохо, что тебе скучно, спрашиваешь у нее, есть ли у нее семья..а она отвечает тебе, что у нее есть только ты, и ей этого достаточно. А потом ты рыдаешь от умиления еще часа 3.",0,1,0,3,0000c85e32--5eaeb466b51e2c428a1ac90c,257326f3444f5f0ca3c4bf994cf9b6e9
,,,,,,
"Бесит, что повсюду мотивация на свой бизнес и спорт, а больше почти никакой мотивации и нет. Я, может, хочу хорошо учиться или стать профессионалом в своей работе. А везде только спорт и бизнес, бизнес и спорт, спорт и бизнес... Как будто у нас на планете только эти два вида деятельности существуют.",4,0,0,0,0000c85e32--5eaeb4684a88742b274b6402,1ab76533da4d59d6a0456e2f4a255810
,,,,,,
"Учусь в медицинском. Срочно надо было до пар успеть к терапевту, подписать справку для практики. Конечно же очередь, а времени нет совсем. Надела свой халат и втиснулась между приёмами пациентов, то есть, дождалась пока один выйдет и влилась в кабинет, сказав следующему подождать 3 минуты. Подписала все быстренько, зашёл главврач и подумал что я работник! Пришлось обьяснить ситуацию. Посмеялись, пригласили на работу. Идеальное преступление.",0,0,3,-4,0000c85e32--5eaeb46854ccdd0881cebbd0,b4dcaad2a38a56c05c3993af836dd7c8
,,,,,,
"Заснула как-то давно у парня дома, пока он работал, а как закончил, минуты 3 гладил меня по голове пока не проснулась.. Просыпаюсь с улыбкой, а он  нежным голосом говорит: ""у тебя волосок из родинки пророс"". Стыдно до сих пор. Два года вместе.   ",-2,4,-3,-3,0000c85e32--5eaeb4686d29ac6d6779f2eb,a27b8c34f487c3aaa8f6e51269b6a160
,,,,,,
"Мой парень никогда не говорит мне что любит меня, да и вообще никому никогда не говорил. А сегодня мне сказал:""Я люблю тебя, просто это тяжело выразить словами"". Я не знала, что мне так мало нужно будет для счастья.  #Подслушано_любовь@overhear ❤",0,5,5,-5,0000c85e32--5eaeb468f234df3102e534e5,932eb73de810f72c662cab68b2a28b41
,,,,,,
"Я не знаю, как сказать парню, что мне стыдно знакомить родителей с его семьёй. Его мать и сёстры — это полный пиздец! Приходя к нам в гости, его мать доходит до дома, становится под нашим окном и начинает истошно вопить: ""Сыночка, я пришла!"" Домофон? Зачем? Тихонько накидать в сумку чайных пакетиков и печенья — норма. Сёстры могут спокойно высморкаться в руку и стряхнуть на землю. Парень вечно пытается их отмазать после очередной пропажи моих прокладок или пачки чая.   ",-3,-1,-5,0,0000c85e32--5eaeb4698ba97d6d5cad88a7,763f3cde4a2822f6f4ad147ccd1d443c
,,,,,,
"Сижу я как-то на днях вконтакте, ничего особенного.. и тут мне приходит зявка на добавление в друзья от какой-то незнакомой  девушки. Открываю профиль, она из другого города, общих друзей нет... Пишу ей знакомы ли мы, говорит нет, наши отцы служили вместе в 78-79 годах за границей. Бегу я к отцу, рассказываю ему, а он: Саша, Саня, Саня Прокопцов, точно он... Обменялись мы номерами, они созвонились, говорили более часа, о встрече договорились. Оказалось он узнал во мне моего папу. Спустя 36 лет... До сих пор счастливый ходит)",0,4,4,-3,0000c85e32--5eaeb4699fae6e3ef812fff2,93552218f80f218a097658651459c599
,,,,,,
"Шла я по тёмной улице очень быстро, обогнала парня, который шёл спереди. ""Спортсменка?!"" — нагоняя меня, он, запыхавшись, спросил. ""Ссыкуха!"" — ответила я. Вместе уже 3 года. В телефоне я у него до сих пор «Ссыкуха».   ",0,0,3,-3,0000c85e32--5eaeb46a54ccdd0881cebbf2,e7b14666d4771de9bbce3598eb05f9e0
,,,,,,
"25 лет, спортивный, образованный, квартира, машина, лучшая работа. После очередного расставания с девушкой (жили год и ещё два разъезжались с переменным успехом) внезапно понял, что на самом деле ничего хорошего в жизни не сделал, никому не нужен, полное ничтожество — в двух словах. Шестой месяц как замкнулся в себе: обаяшка, красавчик, не верю в себя и боюсь отношений, чувствую себя сломанным.",-1,-2,0,5,0000c85e32--5eaeb46abe5edc3cdc2ba45a,60ffeafbeef0f1aa4d0c3fc17fb205be
,,,,,,
"Занимались с подругой сексом в миссионерской позе. По неизвестной мне причине я потерял сознание прямо на ней. Так и лежал на ней, пока в сознание не пришёл. Весом я за центнер, а она у меня миниатюрная. Стыдно и страшно, что такое произошло, ведь она могла задохнуться подо мной. Теперь она всегда сверху.",0,1,-2,0,0000c85e32--5eaeb46aeb24f779400b7cb5,8efb565f7d4482446b404c9f28662649
,,,,,,
"Все мои 10 бывших парней мертвы. Двое снаркоманились (я об их увлечениях ничего не знала), трое покончили с жизнью, двоих изнасиловали и убили, одного убили на зоне, один просто пропал без вести, а потом его нашли мертвым; а ещё одного сбила машина прямо у меня на глазах. Я не знаю, почему отношения со мной заканчиваются для них так, но мне уже страшно. Обычно они умирали после того, как мы расставались или говорили о расставании. Меня все это очень и очень пугает. Боюсь новых отношений...",0,-5,0,4,0000c85e32--5eaeb46c8200d44f27489c99,b535eda88add6a5a6ff4a94e9487dca0
,,,,,,
"За два года с мужем сумела сделать так, что мамкин сыночка повысил свой доход с 10 тысяч до двух сотен. Как? Поддержкой, верой в него, своим заработком и миром в нашем доме. Он расцвел, жизнь становится все лучше, мы молоды, постепенно приобретаем нужные вещи, вроде квартиры, лучшей машины, еще квартиры... А свекровь все орет, что я худшая из его баб, что сын ни на что не годен и рукожоп-дурак, и все я порчу. А по мне хороший парень. Теперь он тоже понял, что он офигенный. Наконец-то!",2,3,5,-5,0000c85e32--5eaeb46c8ca30b697585e7b9,b5c1e317fe68c95563923d98d85e577a
,,,,,,
"Бывший парень в детстве после того, как ел киви, в своем говне находил непереварившиеся косточки. Так он их выковыривал, а потом разгрызал.",-5,0,0,0,0000c85e32--5eaeb46c9fae6e3ef8130020,86ebf11493fe62cc8d6e0f1f3ddb96be
,,,,,,
"Бесит, что когда сообщаю друзьям и знакомым о желании обеспечить престарелому (больному, практически лежачему) отцу уход не дома, но в медицинском учреждении, чаще всего встречаю просто стену непонимания. ""Сбагрить решила?"" Я готова платить деньги, чтобы он был накормлен, умыт и убран, так как не могу заниматься этим сама. Физически и психологически. Мне еще нужно работать и заниматься домом, а смотреть на то, как сильный человек, некогда здоровый ""как бык"", разваливается прямо на глаза и теряется в собственных воспоминаниях - больно.   ",3,1,-1,0,0000c85e32--5eaeb46d0b09457ab57c9008,6df0979b5ee569f4a71902c2958b87cd
,,,,,,
"Коллега учится на заочке. Пришла вся в слезах: препод завернул диплом: ""Это все чушь, в книгах не так, где вы взяли эту ересь"". А ""ересь"" она взяла из своей ежедневной работы. И наша компания в ТОП-3 на рынке по стране. Пошла она к ректору ругаться. И оказалось, что ректор буквально накануне была в гостях в нашем офисе на открытом обучении (у нас такое регулярно проводится). Ректор офигела, извинилась. А через 30 минут уже преподаватель извинялся. И диплом на высший бал автоматом.   ",2,0,3,3,0000c85e32--5eaeb46dbe5edc3cdc2ba47f,699a76386ea660a881eb285379ceb9fd
,,,,,,
"Как-то давно, когда мне было лет 15, уехали с мамой на лето в деревню. Позвонили соседи, сказали что-то не так, окна запотели на кухне. Я поехала выяснять, что там и как. Сломался холодильник, с полной морозилкой мяса, которое уже превратилось в опарышей. Выгребали с подругой, вонь была пздц, провозились полдня. С тех пор наша дружба стала ещё крепче.",-3,0,1,0,0000c85e32--5eaeb46dca83b01307166531,f0698ae09fc482a551ae8ec67a752829
,,,,,,
"Сколько себя помню, всегда был толстым. При росте 175 весил 120кг, и никак не получалось похудеть: диеты, бегал утром и вечером, результат - ноль. В августе устроился работать грузчиком, за два месяца похудел на 20кг. Все проще чем кажется.",0,0,-1,-3,0000c85e32--5eaeb46eb51e2c428a1ac94d,b8e77e473f18974242555742ac103728
,,,,,,
"В средних классах пришла в школу без лифчика. Без задних мыслей надела любимую кофточку, которая немного просвечивалась. Грудь у меня уже выросла, было, на что смотреть. Стою я перед классом, читаю реферат, а в это время несколько мальчиков обсуждают мою грудь. Рядом с ними сидела моя подруга, которая всё слышала. После того, как она мне передала услышанное, я чуть сквозь землю не провалилась.",0,1,-5,-1,0000c85e32--5eaeb46ef105d55e0558dfbc,04cca6ed43e91f488d18246d49c9e091
,,,,,,
"Я очень люблю жизнь. Я люблю мужа, своих родителей, и в жизни достаточно все хорошо. Но стоит мне выйти на балкон — у меня дикое желание спрыгнуть. На вокзале — прыгнуть под поезд. Я не самоубийца, меня все в жизни устраивает, но я очень боюсь, что не сдержу себя в следующий раз. Об этом знает только муж. Не знаю, что делать, боюсь идти к психологу, примут за сумасшедшую и положат в психушку. А мне так тяжело с этим жить.",0,-4,-3,3,0000c85e32--5eaeb46ef234df3102e53528,76b4a2a6dab53de3df1d41a730040cad
,,,,,,
"До недавнего времени я думал, что я самый невезучий человек, пока не нашёл несколько старинных монет 1817 года общей стоимостью 1000$. Наконец-то настал мой час!",0,4,4,-4,0000c85e32--5eaeb46ef998ae6dd322659f,333e5197311b9e25240374d9cd682fb8
,,,,,,
"Осенью редко когда найдешь свежие фрукты, но у меня беременная жена и для того, чтобы достать ей манго в 11 вечера, мне пришлось выковыривать его из упаковок с йогуртом.",1,0,0,0,0000c85e32--5eaeb471ad97062fb1f2f6c9,72786d03c6fa528302a5b6f01ffaf952
,,,,,,
"Решила перестать употреблять алкоголь. Пришлось самой избавляться от комплексов, чтобы и трезвой легко танцевать, петь, знакомиться и творить херню, не заботясь о мнении окружающих. И, когда у меня получилось, я поняла, что это то самое офигенное чувство свободы!",0,2,5,-3,0000c85e32--5eaeb471b9c54d77cfc7d483,ad7d2755400cfb09a2be07850985b0dd
,,,,,,
"Люблю кусать губы и щеки изнутри. Где-то прочитала, что ткань на внутренней поверхности щёк такая же, как и во влагалище. Теперь, когда покусываю очередной участок, не могу отделаться от мысли, что жую своё влагалище.",0,0,1,-3,0000c85e32--5eaeb473fa4ad71590f14977,ecc714a136a31591b9dfea24b12505a2
,,,,,,
"Мне было восемь лет. Мама ушла гулять с маленькой сестренкой. Пришёл с работы пьяный отчим, взял топор и сел в прихожей ждать их. А я торчала в окне, ждала маму, чтобы успеть предупредить. Успела. Мама не пошла домой. Отчим уснул. Потом не вспомнил.",-4,-4,-2,2,0000c85e32--5eaeb4744e84a1467f52fa9f,dbe32d3c96e93f296786bd69bf801787
,,,,,,
"В 13 лет у меня выявили рак легких на ранней стадии. Прошел через множество химиотерапий, перенес за год три операции. Когда мне исполнилось 15 - я победил болезнь. В то время мне просто хотелось жить. Сейчас мне 18 лет, а вспоминать все равно страшно. Посещаю регулярно врачей. И просто хотелось бы сказать огромное спасибо тем людям, которые помогли и собрали деньги на операцию.",0,-5,3,-4,0000c85e32--5eaeb47502b98e765db9c4d5,32b42adfa7a4e846e55a2cf7d3d77d46
,,,,,,
"Никогда бы не подумал, что одиночество может быть клевым. Бывшая жена изменила мне и ушла к новой любви всей её жизни, забрала сына. Теперь у меня избыток времени и денег, несмотря на алименты. Я стал притворять свои давние мечты в жизнь, обновил гардероб и технику. Нашёл друзей и избавился от депрессии. Стал бегать и подкачался. Одиночество - это возможность побыть с самым дорогим тебе человеком наедине, с собой. Только почему же иногда бывает так одиноко и грустно.",0,0,0,3,0000c85e32--5eaeb475ad97062fb1f2f6ec,7e0da8d23d8547e3f78eb6ce098d3b44
,,,,,,
"Одиночество - это, когда в день своего 21-летия покупаешь водку не выпить, а чтобы продавец увидел дату рождения в паспорте и поздравил.",0,-1,0,4,0000c85e32--5eaeb475f234df3102e53557,aafcd1efff6a179a21672b3463213721
,,,,,,
"Часто во время секса испытывала болевые ощущения, член во что-то упирался. Обнаружила какой-то — не знаю, как назвать — бугор. Думала «кривое» строение организма. Даже переживала из-за этого «недостатка». Недавно пошла на приём к новому гинекологу, в кабинете у него стоит специальная камера, изображение с которой передаётся на экран. Так я узнала, что этот бугор — матка. Это всего лишь, мать её, матка, как у всех. Пиздец, очень стыдно за свою непросвещённость, а ведь мне уже 30.",-1,5,-4,1,0000c85e32--5eaeb475fa4ad71590f14991,3f96d8565ea178164d9e1d19310f888e
,,,,,,
"Ужасно не люблю фотографироваться,с каждой фотографией будто частичку меня забрали и ничего не могу с этим сделать. Дико раздражают люди, которые пытаются заставить или фоткают без предупреждения и разрешения. Свои рожи запечатляйте, а мою не трогайте!",-1,-2,2,2,0000c85e32--5eaeb4764e83dd1682ada341,0fa716a54d0306097a0356baa4f8d290
,,,,,,
"Я умею класть плитку, стелить ламинат, штукатурить, клеить, сверлить, проводить воду и электричество, собирать мебель, работать со сваркой. Дома всегда наготовлено и чисто. Вяжу, шью. Работаю на двух работах, учусь на заочке. Бабушка и дедушка научили всему, что умели, НО от меня на днях ушёл парень, объяснив это тем, что ему не нужна баба-мужик.",0,0,-1,5,0000c85e32--5eaeb476eb24f779400b7d2b,97a04cc471eb6fee971dc9b502fa8e5e
,,,,,,
"Познакомился с девушкой в ночном клубе. Когда вышли из клуба, на мой вопрос: ""встретимся завтра?"", она заблевала меня почти всего. Самое запоминающееся знакомство в моей жизни. #Подслушано_провал@overhear",-2,0,0,0,0000c85e32--5eaeb479f105d55e0558e02f,4e279e64755278ec62f0f0fc4a166f08
,,,,,,
"Конец 80-х, первый класс, я такая восторженная девочка-цветочек в форменном платье и бантах иду на перемене по коридору, а навстречу несётся расхристанный пацан и что-то на веревке крутит. Подлетает ко мне и шмяк этим мне в лицо. И, смеясь, побежал дальше. По лицу сползают кишки и шкурка убитой крысы, кровь на белом воротничке и фартуке. Что дальше было — не помню. Учительница меня отмывала в туалете с мылом, а я рыдала так, что глаза опухли, и нос заложило.",-5,-5,-5,4,0000c85e32--5eaeb47a6db6ac2ecd4528f6,e6b975059ef4b71da5d66f42f12319c6
,,,,,,
"Панически боюсь старости. Всерьёз планирую красиво уйти из жизни лет в 50, чтобы не дожить до возраста полной беспомощности и ненужности.",0,-5,1,4,0000c85e32--5eaeb47ba041f41cb6d8c9e9,39834fecc431e92363330e0af29b296d
,,,,,,
"Я шла по улице и обосралась. В буквальном смысле. Проходила мимо машины, а она вдруг бибикнула. Я от неожиданности и испуга навалила в штаны. Шла я тогда на свидание, которое пришлось отменить и мчаться домой. Через год узнала, что тот парень, на свидание с которым не пошла, сел за кражу. С тех пор не так сильно стыжусь случая с машиной...",-2,-2,-5,3,0000c85e32--5eaeb47c4ca08f37843016c3,9e3f07f75c6ae5339156475cc0fe5dab
,,,,,,
Бесят люди которые переходят дорогу на красный. А я как дурак стою и жду зелёного сигнала. Даже если вокруг нет машин.,3,0,0,0,0000c85e32--5eaeb47ce1295a646d06261c,7d0815797a9ace8e031830a7e22e6ef8
,,,,,,
"За 6 лет совместной жизни с парнем, как вы думаете, что его порадовало больше всего? Шикарный секс? Нет. То, что я прекрасно готовлю? Нет. То, что я не толстею? Нет. То, что я стирала его вещи руками, пока стиралка была сломана? Нет. То, что я не имею ничего против того, что он гуляет с друзьями, когда захочет? Нет. А вот когда я его носочки на батарею повесила сушиться, и он с утра их теплые одел, его капец, как тронуло, он даже мне на работу звонил, чтобы спасибо сказать. Неужели он правда считает, что это самое лучшее что с ним в жизни случилось?)",4,1,0,2,0000c85e32--5eaeb47ceb24f779400b7d52,999fe0dcc3b2f4d70e1e16f5b6eb6f0b
,,,,,,
"Обожаю временные тату. На моем теле было их множество и в таких местах, вы и не догадываетесь. Прошлым летом мне подарили шикарное тату от шеи и до самых костяшек, не знаю, где они его достали, но я была очень рада. На работу такое уже нельзя, ждала выходных - на даче как раз и опробую. И вот долгожданные выходные. Решила я сходить в магазин. Шорты, майка, сланцы и она, моя шикарная татуировка. Иду довольная, офигевшие взгляды ловлю, смотрится очень правдоподобно. Вот он магазин. На лавочке сидят несколько местных женщин и сама, собственно, продавщица. Завидев меня издалека, сначала они прифегели, потом стали бурно возмущаться. Поняв, что я иду в магазин, продавщица прямо у меня перед носом его запирает. Спрашиваю причину. В ответ мне полетела, что не гоже мне, уголовнице, по магазинам их шляться и вообще ""таким как мне нужно кожу живьем сдирать"". Не купила я в тот день хлебушка. Будни. Сижу на работе, платежи принимаю. Тут к окошку подходит знакомое лицо - та самая продавщица. Сначала она побелел, потом покраснела, потом что-то промямлила и скрылась из виду. Минут через 10 меня вызывают к менеджеру. А там с довольным лицом сидит эта тетка. Она жаждала моего увольнения с позором. Требуют закатать рукава, дабы показать непотребства. Делаю как велено, а там чисто! Выражение лица той дамы бесценно! Удивление, смятение, разочарование, гнев, стыд. Все смешалось воедино. После ее ухода мы ржали как кони. Менеджер знала о моей страсти, она-то и подарила мне то самое тату.   ",0,0,2,-5,0000c85e32--5eaeb47d374b1b71ae0314f1,46dd4bd0ba72752d1262ee91a42463d3
,,,,,,
"Живу с родителями, маме за 50, папе за 60. С недавнего времени начала по всему дому натыкаться на презервативы, кажется, использованные. Меня это дико раздражало, но я тактично молчала и терпела, однако сегодня, наткнувшись на эту хрень на полке в гостиной, не выдержала и довольно резко (каюсь) спросила у мамы, какого чёрта по всему дому валяются презервативы. Мама смущённо объяснила, что это не презервативы, а медицинские напальчники и что папа порезал палец, поэтому и носит их. Так стыдно мне давно не было.",4,4,-5,0,0000c85e32--5eaeb47dbe5edc3cdc2ba514,e7b14666d4771de9bbce3598eb05f9e0
,,,,,,
"Я в детстве всегда была сопливая. Дома была целая аптечка капель в нос, но ничего не помогало. Пробовали ингаляции, какой—то курс электродов в нос, дома я нос промывала и ромашкой, и корой дуба. Самой большой пыткой было впрыскивать в одну ноздрю солёную воду шприцем, чтобы она вытекла из другой ноздри. Только в универе, вдали от дома, меня осенило что у меня аллергия на пыль, и всему виной все эти годы был хреновый ковер, который висел у моей кровати (чтобы не у стенки спать). Столько мук...  #Подслушано_иллюстрация@overhear",0,3,0,3,0000c85e32--5eaeb47dbe5edc3cdc2ba526,5cc294a07528e0e0236788ebf99843ce
,,,,,,
"Продала поддельную брошь Шанель по цене настоящей... Подделка качественная, не дешёвая, но подделка все-таки. Проблемы на работе, ребёнка кормить нечем, а тут ещё за квартиру счета пришли. Знаю, что поступила неправильно, совесть мучает уже несколько дней, но понимаю, что собственный ребёнок дороже, чем та фифа в розовом мини, которая купила ту самую брошь. Ненавижу себя.",0,0,-5,0,0000c85e32--5eaeb47e4ca08f37843016c9,9332637cfa1d7083cfbaff0746610bcc
,,,,,,
"Завели собаку из питомника. Договорились с заводчиками, что будем звонить, консультироваться по уходу и воспитанию, так как это у нас первый пёс. Прошёл почти год, и мы уже не знаем, куда от них деваться. Нам звонят по три раза на дню с вопросами ""как Бобик покакал?"". К нам приезжают, потому что ""соскучились и надо проверить, как он там"". Присылают ссылки на всякие пособия по дрессировке. Вот хорошо, что они заботливые, конечно, но мне свекровь по поводу детей так мозг не выносила, как они!   ",4,4,0,3,0000c85e32--5eaeb47eabd1990ac4a171ee,6ae6dbe184775f20afeb653b3b31e990
,,,,,,
"Когда прогуливала школу маме говорила что ходила.Сейчас свой бизнес но иногда лень идти на работу,но маме говорю что ходила.Стыдно",5,4,-3,5,0000c85e32--5eaeb47ef105d55e0558e062,7e0da8d23d8547e3f78eb6ce098d3b44
,,,,,,
"История моего успеха началась в старой коммуналке. Я любил петь в душе и во время мытья посуды. Никого это не напрягало и вроде бы ничего необычного, но полтора года назад, когда я уже был женат, мне позвонил мой бывший сосед и предложил работу диктора на одной из ведущих радиостанций. Вот так оно и бывает",0,1,2,-3,0000c85e32--5eaeb47ef5224e5bff340447,14b57e47201e7d8b1692d57ae9508c1a
,,,,,,
"В прошлом году коллега внезапно затащила на картинг, где в мой карт с разбегу врезалась какая-то тетка, повредив мне плечо и спину ударом. В результате обследований поставили диагноз рак, метастазы в кости, 6 курсов химии, операция, новая серия... Никогда жизнь не была так прекрасна, контрастна и удивительно привлекательна... А если бы не тот картинг, может статься, было бы поздно.",0,2,-1,1,0000c85e32--5eaeb47f8ca30b697585e837,dce630aed2842a635123421aea32904d
,,,,,,
"Недавно я вернулась домой из Италии (училась). И вот уже неделю я без перерыва ем мамины борщи, котлетки и пирожки. Ни одна, даже самая вкусная паста или лазанья, не сравнится с домашней курочкой и картошечкой в мундире. За неделю поправилась, но наслаждаться не перестала.",0,0,2,-4,0000c85e32--5eaeb480abd1990ac4a17215,1ab76533da4d59d6a0456e2f4a255810
,,,,,,
"Накупила несколько упаковок презервативов, чтобы крепить их на лобовое стекло машин с запиской,чтобы такие мудаки, которые не умеют парковаться, больше не размножались. А то бесит уже, идешь с коляской, а он такой встал посреди тротуара и его никак не обойти.",5,0,0,-1,0000c85e32--5eaeb4816d29ac6d6779f380,b72c0537dd13adac1c5ec4afe2d7530c
,,,,,,
"Совсем недавно заехала в дом к мужчине, который сдаёт комнату. Была очень удивлена порядку и аккуратности. Видела много закрученных банок с различными сортами салатов, варенья и тому подобное. Любая женщина позавидует. Однажды за приемом пищи мы разговорились, и он признался, что пять лет назад, будучи женат, встретил куклу на 25 лет младше него и не удержался, а жена этого не смогла простить. Сейчас живет один. И на фразу ""у вас дома так уютно"" просто ответил: ""Вот, что с человеком делает одиночество"".   ",0,3,3,2,0000c85e32--5eaeb481e1295a646d062644,92b928484ffacce5013c13714e838aee
,,,,,,
"в детстве, когда я не хотела просыпаться и куда-то идти, мама зловещим голосом начинала напевать ""Лееенииин всегда живой, Лееенин всегда с тобой,.. "" и меня это выкуривало из кровати за считанные секунды. теперь она меня так будит во время сессии. и это до сих пор работает",0,-3,1,0,0000c85e32--5eaeb482374b1b71ae031517,9e002b143c9b5bf42708923d3bba6590
,,,,,,
"Сегодня, входя в маршрутку, пожилой мужчина пожелал всем доброго утра. Как же мне стыдно, что я тупо промолчала как остальное стадо...",0,0,-5,3,0000c85e32--5eaeb48253fcae1d62be5de2,40ab2bf1a6c83a57f23f60326d38c9d6
,,,,,,
"Каждый, кто видит моё отражение в зеркале, очень удивляется. У меня странное лицо: отражение в зеркале очень отличается от реальности. И самое ужасное, что отражение гораздо красивее. Это подтверждают все. Я понимаю, что у всех в той или иной степени существует асимметрия, поэтому отражение немного отличается. Но моё асимметричное лицо в зеркале по-настоящему красиво, тогда как в жизни я миловидная, и то с натяжкой. Кто-то хочет иметь внешность Джоли, а я мечтаю о том, чтобы стать как в зеркале.",0,5,3,3,0000c85e32--5eaeb48254ccdd0881cebc96,cc4ae9f8b9ecef0c45debe26e5a81e01
,,,,,,
"Моя свекровь, находясь у нас в гостях, ворвалась в ванную и застала меня за шугарингом усиков. Что началось! Оказывается, замужняя женщина, удаляющая любые волосы — дура, а мужики вообще обожают наши волосы во всех местах! И если на моих подмышках и ногах нет волос, то и любви в семье у нас нет, и муж скоро пойдёт налево к ""нормальным"" женщинам. Эта абсолютно неухоженная женщина добила меня фразой: ""Ты ещё скажи, что тратишь на это всё деньги, я сразу сына от тебя заберу"". Мы с мужем в шоке.   ",5,5,-5,5,0000c85e32--5eaeb4826d29ac6d6779f386,1d93805f09ccf106cb8a410706d25d91
,,,,,,
